RT @cnnbrk: The Prime Ministers of Poland, Slovenia and the Czech Republic are travelling to Kyiv to meet with Ukrainian President Zelensky…
RT @nytimes: President Volodymyr Zelensky of Ukraine stepped up his appeals to Russian soldiers and citizens appalled by the war, calling o…
RT @RpsAgainstTrump: President Zelensky on the Russian troops : “They flee the battlefield, abandon their equipment. We take the trophies a…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @dszeligowski: The stronger Ukraine is on the battlefield, the more willing Putin will be to sit down behind the negotiating table. Bewa…
A month ago it would have been hard to imagine French President Emmanuel Macron trying to copy President Volodymyr Zelensky.  #UkraineWar #Ukraine #UkraineRussianWar #UkraineUnderAttack #RussianArmy #WorldWarIII #StopRussianAggression #Russians  Now it’s the reality we live in. https://t.co/NyjYjVLuJx
RT @TheInsiderPaper: JUST IN: Prime Ministers of Poland, Slovenia and Czech Repubic to meet Zelensky in-person in Ukraine's Kyiv today
RT @Ian_Willoughby: ‼️ Czech PM Petr Fiala is travelling to Kyiv today with his Polish and Slovenian counterparts to meet Ukraine's Preside…
RT @truthandfiction: I can’t get over that Macron clearly did a Zelensky-style war room photo shoot sans war https://t.co/RQChNu6a85
RT @jomareewade: @joncoopertweets @RobertCooper58 ✋ 20,000 civilians are feared dead in Mariupol  These atrocities must be stopped  #StandW…
RT @AnonOpsSE: The prime ministers of Poland, the Czech Republic and Slovenia will come to Ukraine today for a personal meeting with Zelens…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @KyivPost: "#Zelensky has signed the law about the criminal responsibility for the interaction with Russian occupants," Korniyenko repor…
RT @OccupyDemocrats: BREAKING: Ukrainian President Zelensky sends the family of slain US journalist Brent Renaud a letter sending his “hear…
RT @ChristopherJM: Zelensky: “Therefore I offer you a choice. On behalf of the Ukrainian people, I give you a chance. A chance to survive.…
RT @Out5p0ken: President Zelensky walked the streets of Ukraine and visited with wounded soldiers while Ukraine is being bombed.   Trump em…
This is the MEN 💪 Volodymyr Zelensky https://t.co/WXiKN9zj9j
RT @Telegraph: 🇺🇦Volodymyr Zelensky said he welcomed Western sanctions but they "are not enough" to end the Russian aggression, calling for…
RT @Telegraph: 🇯🇵Japan is reportedly preparing to form a "nuclear police" force in the wake of Russian attacks on Ukraine's nuclear facilit…
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
@AMHoste @steve_burg1971 @samstreetwrites OK ..... he tried to copy Kennedy last month already, with his 'thoughtful' photo shoot, but now trying to look like Zelensky .... this is just ridiculous.
RT @cnnbrk: The Prime Ministers of Poland, Slovenia and the Czech Republic are travelling to Kyiv to meet with Ukrainian President Zelensky…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @mrsorokaa: A month ago it would have been hard to imagine French President Emmanuel Macron trying to copy President Volodymyr Zelensky.…
Memo from the office of George Soros:  Hey guys the "Zelensky look" seems to work well on the peasants, try to work it into your routines.  Regards George https://t.co/fVCgxbof17
RT @NatashaBertrand: New: Lawmakers and Zelensky have pressured Biden to help broker the transfer of heavier weaponry to Ukraine, including…
RT @3SeasMovement: BREAKING: Prime Minister of Poland, Prime Minister of the Czech Republic and the Prime Minister of Slovenia are going to…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @IuliiaMendel: Prime Ministers of Poland, Slovenia and Czech Republic en route to meet Zelensky in Kyiv CNN
RT @KyivIndependent: ⚡️Zelensky to address US Congress on March 16.   President Volodymyr Zelensky will address the members of the U.S. Con…
RT @truthandfiction: I can’t get over that Macron clearly did a Zelensky-style war room photo shoot sans war https://t.co/RQChNu6a85
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @mrsorokaa: “We cancel all inspections for all businesses,” said Zelensky.  “The only condition is that you ensure the normal operation…
RT @2021m2021: PM of Poland  Morawiecki, PM of Slovenia J. Janša and PM of the Czech Republic P. Fiala go to Kiev for a meeting with Zelens…
RT @ChristopherJM: Zelensky to Russian troops: “We hear your conversations in the intercepts, and we hear what you really think about this…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @mrsorokaa: ⚡️It looks like Zelensky canceled taxes amid war.  “Instead of VAT &amp; income tax we give you a 2% tax rate and simplified acc…
RT @Claudette966: TUESDAY GET TOGETHER #DemocracyMatters #IStandWithUkraine 🇺🇦  SAVE  #Ukraine️ 🇺🇦 #Zelensky 🇺🇦 #HumanRights #DemocracyInDa…
RT @BBCYaldaHakim: Remarkable - The prime ministers of Poland, the Czech Republic and Slovenia are travelling to Kyiv for talks with Presid…
RT @Investidea1: #Zelensky is realizing 1. Russians do not want to depose him. They want his neutrality 2. He’s realizing he won’t get mili…
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
@guardian What are your comments on that Zelensky ? ..
Leaders from Poland, the Czech Republic &amp; Slovenia are travelling to Kyiv today, to meet with Volodymyr Zelensky, as the fighting continues. https://t.co/m1yVpYuNYJ
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
Zelensky signed a "countering collaborationism" law banning anyone cooperating with Russia in any way from taking part in politics or government for 15 years, thereby guaranteeing that pro-Russian Ukrainians like Donbas will never allow themselves to be part of a unified Ukraine
RT @samstreetwrites: Macron decided to turn up to work in a pair of jeans and a French paratroopers hoodie to be more like Zelensky. https:…
RT @CalNBC: President Zelensky speaking in Russian, addressing Russian conscripts “I am offering you a choice. In the name of Ukrainian peo…
RT @andrenaleen: Zelensky is the grandson of one of four Jewish brothers who went to fights nazis in WWll. His grandfather is the only one…
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
RT @Orthodoxy2019: President thanks Ukrainian Church for assistance in organizing humanitarian corridor https://t.co/Ien3d71t59  Ukrainian…
